Club Artizen Social Media Analytics Dashboard — Test Plan and Tracker,,,,,,,,
Team: 35,,,"Members: Kaushik, Devshree, Kushagra, Sian, Srinivas",,,,,
"Test
No.","Related
Use Case",Pre-conditions,"Test Description
(Steps)",Expected Outcome,"R1 Outcome
(color code cell)","R1 Comments
(if failed)","R2 Outcome
(color code cell)","R2 Comments
(if failed)"
1,UC-01,"User is logged in as Admin.
Developer credentials for META (Facebook/Instagram) have been obtained.","1. Navigate to 'Integrations' page.
2. Click 'Connect' next to Facebook/Instagram.
3. Enter valid OAuth credentials and grant permissions.
4. Click 'Confirm'.","Facebook and Instagram channels display as 'Connected'.
System stores the access token securely.
Initial data fetch begins automatically.",,,,
2,UC-01,"User is logged in as Admin.
LinkedIn Marketing API credentials have been obtained.","1. Navigate to 'Integrations' page.
2. Click 'Connect' next to LinkedIn.
3. Enter valid API credentials.
4. Click 'Confirm'.","LinkedIn channel appears as 'Connected'.
System begins fetching LinkedIn page metrics.",,,,
3,UC-01,"User is logged in as Admin.
Google Analytics API credentials have been obtained.","1. Navigate to 'Integrations' page.
2. Click 'Connect' next to Google.
3. Enter valid OAuth credentials.
4. Click 'Confirm'.","Google channel appears as 'Connected'.
System begins fetching video Google Ads performance metrics.",,,,
4,UC-01,User is logged in as Admin.,"1. Navigate to 'Integrations' page.
2. Click 'Connect' next to any channel.
3. Enter intentionally incorrect/expired credentials.
4. Click 'Confirm'.","System displays an error message prompting user to retry.
Channel does NOT appear as 'Connected'.
No token is stored.",,,,
5,UC-01,"User is logged in as Admin.
A previously connected channel has an expired OAuth token.","1. Navigate to the dashboard or Integrations page.
2. Observe the status of the channel with the expired token.","System detects the expired token and prompts the user to re-authenticate.
Channel status shows a warning/expired state until re-authentication completes.",,,,
6,UC-02,"User is logged in.
At least one social media channel is connected and has data available.","1. Navigate to the 'Statistics' page from main navigation.
2. Observe the data displayed for all connected channels.","Statistics page loads showing performance data for all connected channels.
Follower growth graph, engagement metrics, impressions/views, and CTR are all visible.",,,,
7,UC-02,"User is logged in.
At least one channel is connected with data available.","1. Navigate to 'Statistics' page.
2. Select a specific channel (e.g. Instagram) from the channel selector.
3. Observe the data.","Page updates to show individual statistics for the selected channel only.
All metrics (follower growth, engagement, impressions, CTR) are displayed for that channel.",,,,
8,UC-02,"User is logged in.
At least one channel is connected with data spanning multiple weeks.","1. Navigate to 'Statistics' page.
2. Locate the date range filter.
3. Set start date to 30 days ago and end date to today.
4. Apply the filter.","All visualisations refresh to show data within the selected 30-day range only.
Data outside the range is excluded from the charts.",,,,
9,UC-02,"User is logged in.
A channel has been connected but no data has yet been fetched.","1. Navigate to 'Statistics' page.
2. Select the newly connected channel.","System displays a loading state or a clear message indicating data is being retrieved.
No blank screen or unhandled error is shown.",,,,
10,UC-02,"User is logged in.
WhatsApp Business is connected (limited public metrics only).","1. Navigate to 'Statistics' page.
2. Select the WhatsApp Business channel.","Available metrics are displayed correctly.
Metrics unavailable via the API are clearly flagged with an explanatory note, not silently empty.",,,,
11,UC-03,"User is logged in.
At least one channel is connected with sufficient historical data.","1. Navigate to the 'Analytics' page.
2. Observe the derived insights displayed.","Analytics page loads with derived insights including posting time vs. engagement correlations, top-performing post types, and location-based performance displayed as charts, tables, or ranked lists.",,,,
12,UC-03,"User is logged in.
Multiple channels are connected with data.","1. Navigate to 'Analytics' page.
2. Select 'Cross-channel' view or observe the default multi-channel display.","Cross-channel insights are displayed, aggregating patterns across all connected platforms.",,,,
